FunctionField(Polynomial([PolynomialRing(GF(5)) | [2, 4, 1], [1, 1], [1]]));5;0;Linear algebra;1;0.160
FunctionField(Polynomial([PolynomialRing(GF(5)) | [2, 2, 1], [0, 3], [1]]));5;0;Linear algebra;1;0.180
FunctionField(Polynomial([PolynomialRing(GF(5)) | [2, 3, 2], [0, 1]]));5;0;Linear algebra;1;0.160
FunctionField(Polynomial([PolynomialRing(GF(5)) | [2, 4, 1], [1, 1], [1]]));5;0;Original;1;0.040
FunctionField(Polynomial([PolynomialRing(GF(5)) | [2, 2, 1], [0, 3], [1]]));5;0;Original;1;0.050
FunctionField(Polynomial([PolynomialRing(GF(5)) | [2, 3, 2], [2, 4], [1]]));5;0;Linear algebra;1;0.200
FunctionField(Polynomial([PolynomialRing(GF(5)) | [2, 3, 2], [0, 1]]));5;0;Original;1;0.050
FunctionField(Polynomial([PolynomialRing(GF(7)) | [4, 2, 1], [1, 3], [1]]));7;0;Linear algebra;1;0.100
FunctionField(Polynomial([PolynomialRing(GF(5)) | [2, 3, 2], [2, 4], [1]]));5;0;Original;1;0.060
FunctionField(Polynomial([PolynomialRing(GF(7)) | [4, 2, 1], [1, 3], [1]]));7;0;Original;1;0.060
FunctionField(Polynomial([PolynomialRing(GF(7)) | [6, 3, 2], [5, 2], [1]]));7;0
FunctionField(Polynomial([PolynomialRing(GF(7)) | [5, 5, 5], [6, 2], [1]]));7;0
FunctionField(Polynomial([PolynomialRing(GF(7)) | [4, 0, 4], [6], [1]]));7;0
FunctionField(Polynomial([PolynomialRing(GF(7)) | [4, 5, 4], [6, 2], [1]]));7;0
FunctionField(Polynomial([PolynomialRing(GF(7)) | [6, 3, 2], [5, 2], [1]]));7;0;Linear algebra;1;0.110
FunctionField(Polynomial([PolynomialRing(GF(7)) | [3, 4, 4], [4, 3], [1]]));7;0
FunctionField(Polynomial([PolynomialRing(GF(7)) | [5, 5, 5], [6, 2], [1]]));7;0;Linear algebra;1;0.090
FunctionField(Polynomial([PolynomialRing(GF(7)) | [4, 0, 4], [6], [1]]));7;0;Linear algebra;1;0.080
FunctionField(Polynomial([PolynomialRing(GF(7)) | [6, 3, 2], [5, 2], [1]]));7;0;Original;1;0.040
FunctionField(Polynomial([PolynomialRing(GF(7)) | [4, 5, 4], [6, 2], [1]]));7;0;Linear algebra;1;0.100
FunctionField(Polynomial([PolynomialRing(GF(7)) | [4, 0, 4], [6], [1]]));7;0;Original;1;0.060
FunctionField(Polynomial([PolynomialRing(GF(7)) | [5, 5, 5], [6, 2], [1]]));7;0;Original;1;0.080
FunctionField(Polynomial([PolynomialRing(GF(7)) | [3, 4, 4], [4, 3], [1]]));7;0;Linear algebra;1;0.100
FunctionField(Polynomial([PolynomialRing(GF(7)) | [4, 5, 4], [6, 2], [1]]));7;0;Original;1;0.060
FunctionField(Polynomial([PolynomialRing(GF(7)) | [6, 6, 6], [1, 6], [1]]));7;0
FunctionField(Polynomial([PolynomialRing(GF(7)) | [3, 4, 4], [4, 3], [1]]));7;0;Original;1;0.050
FunctionField(Polynomial([PolynomialRing(GF(7)) | [4, 2, 6], [3, 5], [1]]));7;0
FunctionField(Polynomial([PolynomialRing(GF(7)) | [6, 6, 6], [1, 6], [1]]));7;0;Linear algebra;1;0.080
FunctionField(Polynomial([PolynomialRing(GF(7)) | [1, 4, 6], [2], [1]]));7;0
FunctionField(Polynomial([PolynomialRing(GF(7)) | [5, 2, 1], [2, 6], [1]]));7;0
FunctionField(Polynomial([PolynomialRing(GF(7)) | [6, 6, 6], [1, 6], [1]]));7;0;Original;1;0.060
FunctionField(Polynomial([PolynomialRing(GF(7)) | [4, 2, 6], [3, 5], [1]]));7;0;Linear algebra;1;0.100
FunctionField(Polynomial([PolynomialRing(GF(7)) | [4, 6, 1], [4, 1], [1]]));7;0
FunctionField(Polynomial([PolynomialRing(GF(7)) | [1, 4, 6], [2], [1]]));7;0;Linear algebra;1;0.100
FunctionField(Polynomial([PolynomialRing(GF(7)) | [4, 2, 6], [3, 5], [1]]));7;0;Original;1;0.040
FunctionField(Polynomial([PolynomialRing(GF(7)) | [5, 2, 1], [2, 6], [1]]));7;0;Linear algebra;1;0.110
FunctionField(Polynomial([PolynomialRing(GF(7)) | [1, 4, 6], [2], [1]]));7;0;Original;1;0.050
FunctionField(Polynomial([PolynomialRing(GF(7)) | [2, 1, 4], [2, 2], [1]]));7;0
FunctionField(Polynomial([PolynomialRing(GF(7)) | [4, 6, 1], [4, 1], [1]]));7;0;Linear algebra;1;0.120
FunctionField(Polynomial([PolynomialRing(GF(7)) | [5, 2, 1], [2, 6], [1]]));7;0;Original;1;0.080
FunctionField(Polynomial([PolynomialRing(GF(7)) | [6, 4, 4], [4, 4], [1]]));7;0
FunctionField(Polynomial([PolynomialRing(GF(7)) | [4, 6, 1], [4, 1], [1]]));7;0;Original;1;0.060
FunctionField(Polynomial([PolynomialRing(GF(7)) | [6, 4, 4], [4, 4], [1]]));7;0;Linear algebra;1;0.050
