Function field,Finite field,Genus,Method,Class number,Time,Timeout
"FunctionField(Polynomial([PolynomialRing(GF(5)) | [2, 3, 3, 3, 1, 0, 3, 4], [3, 4, 1, 2, 3, 1, 2], [0, 0, 1, 2, 0, 1], [4, 1, 4, 0, 1], [3, 4, 4, 3], [1, 0, 4], [3, 1], [1]]))",5,7,Magma,119596,7.670,false
"FunctionField(Polynomial([PolynomialRing(GF(5)) | [1, 1, 4, 4, 1, 3, 4, 2], [3, 3, 3, 4, 1, 1], [3, 3, 3, 0, 3, 2], [0, 0, 0, 0, 3], [0, 3, 0, 3], [0, 0, 4], [1, 4], [1]]))",5,7,Magma,76559,6.930,false
"FunctionField(Polynomial([PolynomialRing(GF(5)) | [2, 4, 2, 0, 4, 0, 0, 0, 1, 1], [1, 2, 3, 1, 2, 3, 3, 1, 2], [0, 0, 3, 2, 1, 4, 3, 4], [0, 3, 2, 0, 3, 1, 3], [2, 2, 1, 0, 3, 1], [3, 4, 1, 2, 2], [1, 4, 3, 2], [1, 1, 1]]))",5,10,Linear algebra,37662798,7.410,false
"FunctionField(Polynomial([FunctionField(GF(2)) | [1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1], [0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1], [0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1], [0, 0, 1, 1, 0, 1, 0, 0, 1, 1], [0, 0, 0, 1, 0, 1, 1, 1, 1], [0, 0, 1, 1, 0, 0, 0, 1], [1, 1, 0, 1], [0, 0, 1, 0, 1], [1, 1, 0, 1, 1], [0, 1, 0, 1]]))",2,13,Linear algebra,64092,20.470,false
"FunctionField(Polynomial([FunctionField(GF(2)) | [1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1], [1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1], [1, 0, 1, 0, 0, 0, 1, 0, 0, 1], [1, 1, 1, 1, 0, 0, 0, 1, 0, 1], [1, 0, 1, 0, 1, 1, 0, 1], [1, 0, 1, 1, 1, 1, 1, 0, 1], [1, 0, 1, 1, 1, 0, 1, 1], [1, 1, 0, 0, 0, 1], [1, 1, 1, 1, 0, 1], [1, 0, 1, 1], [0, 1, 1], [0, 1, 1]]))",2,13,Linear algebra,143766,21.230,false
"FunctionField(Polynomial([PolynomialRing(GF(5)) | [0, 0, 0, 3, 3, 1, 3, 4], [1, 2, 0, 4, 3, 2, 3], [1, 2, 2, 0, 1, 3], [2, 1, 3, 3, 1], [3, 2, 2, 4], [1, 4, 4], [], [1]]))",5,7,Magma,111203,10.790,false
"FunctionField(Polynomial([PolynomialRing(GF(5)) | [0, 0, 1, 4, 4, 0, 4, 2, 2, 1], [0, 4, 0, 4, 4, 0, 3, 2, 2], [0, 2, 2, 1, 1, 0, 0, 2], [2, 1, 3, 4, 0, 4, 4], [1, 0, 2, 4, 1, 2], [0, 4, 4, 3, 4], [2, 3, 0, 3], [1, 3], [1, 1]]))",5,10,Linear algebra,18625630,10.360,false
"FunctionField(Polynomial([PolynomialRing(GF(5)) | [4, 0, 2, 4, 2, 2, 2], [1, 2, 1, 4, 2, 3, 1], [2, 1, 3, 4, 4], [3, 2, 3, 1, 1], [0, 4, 4], [4, 3, 2], [3, 1]]))",5,7,Magma,310868,12.780,false
"FunctionField(Polynomial([FunctionField(GF(2)) | [1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1], [0, 1, 1, 0, 1, 0, 1, 0, 0, 1], [0, 0, 0, 0, 0, 0, 1, 1, 1, 1], [1, 0, 1, 1, 0, 0, 1, 0, 1, 1], [1, 0, 1, 0, 1, 0, 1, 0, 1], [1, 0, 0, 0, 0, 1, 0, 1], [0, 1], [0, 0, 1, 1, 0, 1], [1, 0, 0, 1, 1, 1], [0, 0, 0, 1], [1, 1, 0, 1]]))",2,13,Magma,69174,12.580,false
"FunctionField(Polynomial([PolynomialRing(GF(5)) | [0, 4, 2, 1, 3, 4, 3, 4, 0, 4], [4, 0, 1, 1, 2, 1, 1, 2, 3], [1, 3, 2, 3, 4, 2, 3, 4], [0, 4, 4, 3, 0, 4], [3, 1, 1, 0, 4, 3], [2, 1, 2, 4], [2, 3, 1, 1], [4, 2, 3], [3], [1]]))",5,10,Linear algebra,25944380,11.340,false
