Function field,Finite field,Genus,Method,Class number,Time,Timeout
"FunctionField(Polynomial([PolynomialRing(GF(59)) | [57, 12, 51, 44, 21, 32, 48, 49, 24, 57], [54, 35, 21, 9, 28, 44, 0, 36, 7], [54, 40, 42, 12, 40, 27, 54, 33], [39, 36, 9, 43, 56, 22, 52], [42, 7, 48, 6, 46, 46], [20, 45, 50, 22, 38], [34, 0, 40, 46], [24, 28, 55], [48, 1]]))",59,10,Magma,,3600.460,true
"FunctionField(Polynomial([PolynomialRing(GF(59)) | [52, 5, 13, 4, 2, 19, 41, 15, 10, 27], [22, 37, 29, 50, 27, 7, 34, 11, 25], [28, 55, 56, 1, 29, 11, 11, 5], [18, 12, 7, 0, 35, 30, 33], [35, 22, 46, 36, 2, 6], [44, 31, 11, 49, 44], [13, 36, 4, 50], [45, 2, 22], [48, 5], [1]]))",59,10,Magma,,3600.540,true
"FunctionField(Polynomial([PolynomialRing(GF(59)) | [20, 42, 27, 52, 46, 43, 24, 15, 9, 33], [30, 5, 23, 56, 22, 9, 36, 45, 24], [53, 31, 25, 33, 48, 38, 43, 25], [49, 13, 53, 0, 4, 3, 54], [44, 46, 47, 3, 27, 43], [15, 6, 28, 21, 51], [11, 40, 18, 42], [44, 58, 15], [17, 26], [1]]))",59,10,Magma,,3600.670,true
"FunctionField(Polynomial([PolynomialRing(GF(59)) | [0, 41, 0, 10, 3, 13, 39, 40, 19, 26], [39, 5, 58, 36, 0, 2, 15, 41, 2], [56, 9, 53, 38, 23, 39, 8, 22], [31, 41, 56, 31, 5, 3, 53], [22, 11, 53, 4, 6, 27], [18, 42, 26, 14, 39], [1, 28, 46, 13], [12, 15, 51], [22, 22], [1]]))",59,10,Magma,,3600.480,true
"FunctionField(Polynomial([PolynomialRing(GF(59)) | [11, 3, 47, 31, 55, 53, 49, 5, 43, 15], [4, 52, 21, 1, 15, 21, 44, 51, 7], [18, 56, 56, 23, 49, 58, 29, 54], [6, 32, 33, 49, 5, 44, 28], [23, 46, 53, 42, 33, 25], [56, 40, 47, 13, 29], [31, 25, 6, 5], [11, 4, 49], [43, 53], [1]]))",59,10,Magma,,3600.610,true
"FunctionField(Polynomial([FunctionField(GF(31)) | [14, 30, 28, 30, 21, 8, 22, 7, 12, 13, 17, 5, 12, 22], [18, 0, 28, 30, 23, 0, 6, 20, 19, 28, 9, 7, 8], [24, 8, 23, 12, 23, 15, 1, 17, 0, 17, 13, 10], [12, 3, 22, 18, 11, 9, 18, 1, 5, 14, 13], [21, 22, 5, 19, 8, 0, 27, 3, 17, 18], [6, 17, 14, 28, 17, 30, 26, 15, 6], [22, 7, 1, 30, 24, 24, 6, 9], [24, 27, 3, 14, 17, 27, 29], [26, 7, 28, 10, 2, 29], [13, 24, 21, 23, 19], [15, 24, 19, 23], [3, 15, 15], [28, 25], [1]]))",31,13,Magma,,3600.140,true
"FunctionField(Polynomial([FunctionField(GF(31)) | [3, 20, 15, 8, 2, 4, 19, 18, 23, 18, 24, 6, 12, 30], [11, 2, 25, 14, 19, 25, 10, 20, 17, 14, 16, 7, 23], [18, 21, 27, 21, 1, 22, 5, 3, 8, 17, 6, 30], [25, 19, 13, 24, 21, 12, 8, 6, 10, 29, 25], [11, 18, 21, 3, 8, 25, 4, 3, 9, 11], [8, 16, 20, 2, 0, 2, 17, 20, 23], [7, 20, 25, 0, 26, 17, 12, 19], [2, 10, 20, 27, 12, 2, 15], [7, 25, 1, 6, 7, 23], [19, 4, 15, 29, 25], [11, 9, 29, 20], [23, 1, 17], [9, 5], [1]]))",31,13,Magma,,3600.160,true
"FunctionField(Polynomial([FunctionField(GF(31)) | [18, 12, 17, 15, 28, 9, 21, 13, 17, 11, 1, 20, 2, 29], [2, 4, 7, 20, 28, 28, 13, 18, 7, 28, 4, 6, 10], [6, 30, 13, 29, 23, 22, 9, 21, 15, 13, 11, 8], [8, 18, 22, 25, 9, 2, 5, 26, 20, 26, 16], [1, 5, 17, 17, 0, 27, 11, 22, 6, 18], [7, 25, 14, 16, 3, 9, 6, 15, 6], [7, 10, 0, 9, 0, 17, 10, 22], [12, 12, 27, 13, 15, 29, 29], [24, 22, 15, 12, 1, 2], [26, 10, 22, 30], [29, 25, 26, 27], [2, 8, 13], [15, 20], [1]]))",31,13,Magma,,3600.180,true
"FunctionField(Polynomial([FunctionField(GF(31)) | [3, 20, 24, 23, 11, 23, 3, 11, 22, 13, 12, 27, 8, 19], [17, 19, 15, 3, 29, 22, 7, 10, 11, 22, 23, 19, 1], [18, 0, 21, 19, 0, 6, 18, 28, 18, 18, 30, 6], [4, 10, 25, 12, 13, 16, 28, 2, 2, 28, 21], [17, 29, 13, 11, 6, 17, 13, 8, 30, 21], [12, 4, 28, 12, 27, 5, 4, 15, 18], [27, 13, 24, 4, 8, 21, 16, 20], [20, 7, 27, 2, 3, 29, 4], [10, 4, 13, 18, 13, 25], [11, 0, 25, 20], [1, 9, 0, 20], [1, 18, 21], [24, 1]]))",31,13,Magma,,3600.200,true
"FunctionField(Polynomial([FunctionField(GF(31)) | [29, 17, 20, 16, 0, 2, 20, 21, 30, 9, 13, 25, 14, 6], [9, 6, 19, 30, 6, 0, 27, 23, 15, 23, 14, 28, 15], [13, 16, 14, 16, 11, 13, 15, 26, 30, 20, 19, 10], [18, 9, 17, 28, 8, 3, 22, 4, 14, 3, 3], [6, 4, 11, 0, 4, 21, 13, 10, 16, 20], [5, 19, 28, 14, 7, 30, 14, 28, 14], [26, 6, 2, 22, 28, 29, 6, 23], [21, 19, 0, 11, 29, 12, 19], [10, 25, 1, 6, 13, 16], [7, 2, 30, 15, 8], [15, 17, 20, 22], [29, 8, 10], [2, 1]]))",31,13,Magma,,3600.160,true
"FunctionField(Polynomial([PolynomialRing(GF(97)) | [65, 43, 28, 21, 57, 64, 42, 94, 24, 64], [86, 73, 88, 87, 6, 64, 45, 34, 9], [82, 84, 51, 12, 43, 3, 3, 34], [49, 25, 25, 9, 2, 32, 57], [74, 79, 30, 13, 62, 89], [70, 40, 93, 34, 9], [42, 47, 73, 40], [24, 76, 55], [38, 47], [1]]))",97,10,Linear algebra,,3612.120,true
"FunctionField(Polynomial([PolynomialRing(GF(97)) | [31, 90, 76, 66, 81, 26, 41, 45, 51, 67], [33, 7, 9, 19, 14, 5, 56, 80, 20], [76, 45, 66, 21, 70, 71, 11, 2], [49, 18, 95, 63, 10, 32, 20], [90, 59, 19, 85, 40, 58], [60, 6, 53, 71, 81], [51, 35, 43, 15], [38, 12, 93], [20, 17], [1]]))",97,10,Linear algebra,,3613.220,true
"FunctionField(Polynomial([PolynomialRing(GF(97)) | [43, 3, 83, 84, 69, 50, 77, 96, 6, 80], [64, 4, 29, 68, 12, 95, 3, 21, 45], [11, 20, 37, 93, 43, 18, 33, 27], [90, 15, 85, 84, 49, 95, 58], [96, 26, 73, 81, 48, 84], [57, 71, 32, 74, 7], [56, 23, 26, 47], [13, 61, 18], [12, 2], [1]]))",97,10,Linear algebra,,3613.450,true
"FunctionField(Polynomial([PolynomialRing(GF(97)) | [55, 1, 11, 94, 67, 73, 63, 21, 38, 92], [42, 42, 67, 89, 69, 11, 63, 95, 36], [78, 5, 61, 84, 59, 55, 0, 51], [3, 59, 87, 19, 88, 53, 70], [35, 11, 82, 63, 87, 2], [30, 7, 91, 18, 80], [0, 59, 72, 88], [78, 94, 20], [27, 42], [1]]))",97,10,Linear algebra,,3614.300,true
"FunctionField(Polynomial([PolynomialRing(GF(97)) | [48, 49, 77, 69, 41, 87, 15, 87, 94, 26], [22, 85, 69, 78, 8, 92, 12, 37, 61], [76, 42, 65, 56, 59, 11, 6, 24], [58, 36, 40, 52, 94, 7, 9], [9, 4, 74, 5, 75, 20], [77, 30, 25, 21, 16], [74, 39, 30, 3], [96, 26, 6], [70, 44], [1]]))",97,10,Linear algebra,,3614.630,true
"FunctionField(Polynomial([PolynomialRing(GF(97)) | [65, 43, 28, 21, 57, 64, 42, 94, 24, 64], [86, 73, 88, 87, 6, 64, 45, 34, 9], [82, 84, 51, 12, 43, 3, 3, 34], [49, 25, 25, 9, 2, 32, 57], [74, 79, 30, 13, 62, 89], [70, 40, 93, 34, 9], [42, 47, 73, 40], [24, 76, 55], [38, 47], [1]]))",97,10,Magma,,3600.130,true
"FunctionField(Polynomial([PolynomialRing(GF(97)) | [31, 90, 76, 66, 81, 26, 41, 45, 51, 67], [33, 7, 9, 19, 14, 5, 56, 80, 20], [76, 45, 66, 21, 70, 71, 11, 2], [49, 18, 95, 63, 10, 32, 20], [90, 59, 19, 85, 40, 58], [60, 6, 53, 71, 81], [51, 35, 43, 15], [38, 12, 93], [20, 17], [1]]))",97,10,Magma,,3600.150,true
"FunctionField(Polynomial([PolynomialRing(GF(97)) | [43, 3, 83, 84, 69, 50, 77, 96, 6, 80], [64, 4, 29, 68, 12, 95, 3, 21, 45], [11, 20, 37, 93, 43, 18, 33, 27], [90, 15, 85, 84, 49, 95, 58], [96, 26, 73, 81, 48, 84], [57, 71, 32, 74, 7], [56, 23, 26, 47], [13, 61, 18], [12, 2], [1]]))",97,10,Magma,,3600.150,true
"FunctionField(Polynomial([PolynomialRing(GF(97)) | [55, 1, 11, 94, 67, 73, 63, 21, 38, 92], [42, 42, 67, 89, 69, 11, 63, 95, 36], [78, 5, 61, 84, 59, 55, 0, 51], [3, 59, 87, 19, 88, 53, 70], [35, 11, 82, 63, 87, 2], [30, 7, 91, 18, 80], [0, 59, 72, 88], [78, 94, 20], [27, 42], [1]]))",97,10,Magma,,3600.160,true
"FunctionField(Polynomial([PolynomialRing(GF(97)) | [48, 49, 77, 69, 41, 87, 15, 87, 94, 26], [22, 85, 69, 78, 8, 92, 12, 37, 61], [76, 42, 65, 56, 59, 11, 6, 24], [58, 36, 40, 52, 94, 7, 9], [9, 4, 74, 5, 75, 20], [77, 30, 25, 21, 16], [74, 39, 30, 3], [96, 26, 6], [70, 44], [1]]))",97,10,Magma,,3600.160,true
